,bathrooms,sqft_living,sqft_lot,grade,condition,waterfront,view,age,UTM_X,UTM_Y,log_price
0,3.0,2660,4600,8,3,0,0,109,552217.5570349949,5274944.781420565,6.091315159697223
1,2.25,2530,8736,7,4,0,0,57,565692.4843306735,5272758.058947301,5.790988475088816
2,2.0,1390,13464,7,4,0,0,28,562451.6615086263,5245291.26821495,5.315130317183602
3,1.0,940,4264,7,5,0,0,66,546816.9356179276,5264406.872067376,5.619093330626742
4,2.25,2070,7225,8,3,0,0,36,564343.1953517292,5244978.220457739,5.477121254719663
5,1.5,1440,12040,7,4,0,0,56,563417.2998755701,5246790.949875317,5.403977963669354
6,4.0,2290,6250,7,5,0,0,75,546320.3562870994,5270071.242648842,5.820368312147474
7,2.0,2410,4680,9,3,0,0,41,566646.0847633905,5274825.186409215,5.672097857935717
8,1.0,1200,9488,7,5,0,0,74,552811.4417144239,5259100.781197117,5.364550995353972
9,1.5,1170,9848,7,3,0,0,52,557403.190502118,5290043.244418311,5.3979400086720375
10,1.0,740,8853,6,3,0,0,72,550027.6752233168,5258642.879123138,5.362670929725667
11,1.75,1520,7875,8,5,0,0,46,561990.9972031884,5267382.369775408,5.720159303405957
12,3.0,2640,5096,10,3,0,0,6,553438.5695855451,5281080.08916251,5.959041392321094
13,2.25,2090,7500,7,4,0,0,38,562483.4495793538,5249403.982934636,5.459392487759231
14,2.5,2160,3000,7,3,0,0,106,553482.2122079195,5268131.853988363,5.578352641510361
15,1.0,800,6500,6,4,0,0,62,548109.97866887,5290058.736020398,5.469822015978163
16,1.0,970,7854,7,4,0,0,35,561392.0393229392,5259929.137700676,5.419129307741976
17,1.5,1440,9711,7,3,0,0,59,556077.712750477,5287607.195265416,5.653212513775344
18,3.5,3070,7050,8,3,0,3,87,554311.4825218094,5284055.848204034,5.929418925714293
19,2.25,2600,9900,7,3,0,0,50,557476.9855318866,5259689.329845452,5.431363764158987
20,2.5,2170,3200,7,5,0,0,92,549035.3004925102,5278084.795261028,5.731588765186738
21,4.25,5540,15408,11,3,0,1,9,559226.0190048534,5272933.319239629,6.4107772333772095
22,2.25,1840,7326,7,5,0,0,36,562784.4687270061,5249484.994806268,5.505136406405284
23,2.0,1820,8400,7,5,0,0,59,550283.7398321732,5290010.487887544,5.578581911401869
24,1.75,1390,5025,8,4,0,0,87,553449.5980528669,5279879.790719744,5.836640541572774
25,1.75,1890,8000,7,4,0,0,55,549987.7228965585,5289574.44876734,5.574031267727719
26,2.25,1940,8270,7,5,0,0,53,549988.5849741182,5289474.422399311,5.724275869600789
27,2.25,1710,7000,7,4,0,0,43,558724.5836837763,5285365.894459543,5.653212513775344
28,3.5,1460,1021,8,3,0,0,9,551925.8381706878,5273952.969934591,5.7558748556724915
29,1.0,860,8636,6,3,0,0,91,548494.3005706116,5261830.900999975,5.230448921378274
30,1.75,1730,11986,6,5,0,3,97,551122.9692435373,5245337.485801873,5.531478917042255
31,4.5,3720,7746,10,3,0,0,1,562608.5903728104,5286884.792169589,5.982271233039568
32,2.5,2000,2500,8,3,0,1,21,545421.1284152819,5269664.05648627,5.773054693364263
33,1.0,1080,4930,6,3,0,0,65,547127.4124054986,5263242.362330565,5.423245873936808
34,1.75,1280,8500,7,3,0,0,62,560823.5724544238,5278307.185494713,5.77451696572855
35,1.75,3020,10714,8,5,0,0,57,561611.2059941706,5267722.91193247,5.793790384690818
36,1.0,1050,9083,7,3,0,0,64,551940.5402444702,5289113.666336752,5.511883360978874
37,2.5,1230,987,7,3,0,0,4,552242.5509431658,5272155.227964094,5.57978359661681
38,2.5,2650,9301,9,3,0,0,14,555061.9533900665,5244061.5653022155,5.632457292184724
39,1.0,1380,5400,7,4,0,0,61,553405.3705263146,5284692.111849875,5.57978359661681
40,1.5,2010,7755,7,3,0,0,63,557771.0662486164,5260425.787278423,5.338456493604605
41,1.75,1640,8529,7,5,0,0,64,550944.9001904054,5291527.887157946,5.643452676486188
42,2.5,2760,5564,7,3,0,0,14,561100.5870414212,5258981.339276655,5.6283378335761185
43,1.0,1180,7573,7,4,0,0,38,552931.2094765862,5287333.116910429,5.550228353055094
44,3.0,1630,7626,7,5,0,0,25,551901.8500314882,5285056.388257587,5.683497317679811
45,2.25,2950,15207,10,4,0,0,49,558981.5179478572,5267373.433502696,5.9965116721541785
46,5.0,3028,18055,7,3,0,0,10,560631.2683028049,5246050.230895877,5.681241237375588
47,1.75,1420,8250,7,4,0,0,55,565158.5213114301,5273452.318679878,5.662757831681574
48,2.0,2880,12000,8,3,0,0,94,553008.9817365254,5270539.407142567,5.892094602690481
49,2.25,2510,10418,8,3,0,0,47,553643.8323244253,5283238.2596374145,5.9164539485499255
50,1.75,1610,7350,8,3,0,0,41,565508.8992465844,5255572.281831824,5.496237545166736
51,1.75,2960,11347,8,4,0,0,69,548751.938117411,5258020.835758924,5.671172842715083
52,3.0,3050,6179,9,4,0,0,89,553795.859457387,5274903.565713165,6.168792020314182
53,2.25,1940,6500,8,3,0,0,36,564265.9756758313,5245132.980089454,5.3404441148401185
54,1.0,1440,8287,7,4,0,0,87,551350.2847764347,5288052.4966025455,5.568201724066995
55,1.0,880,6900,6,3,0,0,72,560939.6132356455,5259968.869685377,5.278753600952829
56,2.5,2720,10455,10,3,0,2,34,563345.7636613222,5267341.331169949,5.989004615698537
57,2.5,3140,8060,9,3,0,0,24,549659.9240021082,5239723.483705755,5.59100892467731
58,2.75,2460,7830,9,5,0,0,60,551774.6170385386,5282498.844396198,5.921686475483602
59,3.25,1470,1152,8,3,0,0,12,549788.7873233876,5277791.095595103,5.788875115775417
60,2.25,2530,10611,8,5,0,0,38,565285.1439421141,5268852.097961923,5.770852011642144
61,1.75,2120,8520,7,3,0,0,37,547398.7014040243,5238915.771566747,5.44420098886416
62,1.0,840,3522,6,3,0,0,68,545428.1049756835,5278411.19178525,5.6075622431835885
63,3.75,3010,4360,9,3,0,0,1,550055.0232784867,5281761.324852921,6.051152522447381
64,2.25,2610,3357,7,4,0,0,89,552130.2895963655,5276299.991556351,6.020775488193558
65,1.75,1470,5350,7,3,0,0,60,551388.6294797608,5283718.046754791,5.6674529528899535
66,1.0,1010,5400,6,3,0,0,56,553171.0041080425,5269262.700538534,5.501059262217751
67,1.0,1210,7440,7,3,0,0,66,550754.0752321912,5287647.116283707,5.51181654130309
68,2.5,2540,11100,7,5,0,0,58,565809.1689654213,5275738.232835112,5.799340549453582
69,2.0,2580,15653,9,3,0,0,25,548165.3003860549,5256048.76316139,5.682145076373832
70,1.5,1370,9750,7,3,0,0,62,551014.3875882576,5257817.815017266,5.471291711058939
71,1.0,940,1948,6,5,0,0,115,546315.1760770022,5280174.2863984965,5.741151598851785
72,1.0,1190,4440,6,3,0,0,34,553480.275387222,5284703.915869996,5.582631439489637
73,2.5,1256,1154,7,3,0,0,10,551679.0183922257,5284809.874943166,5.500716623555479
74,3.0,3230,8625,10,3,0,3,17,544833.8619467013,5267792.304769236,6.1003705451175625
75,2.25,2270,9600,7,3,0,0,39,548737.2612843715,5241605.152508936,5.484298415428118
76,2.5,2390,15669,9,3,0,0,24,560494.9032617328,5288229.547366816,5.819543935541868
77,2.0,2030,9600,6,3,0,0,68,554884.3522559113,5254974.155796901,5.404455681740351
78,1.0,1320,11457,8,3,0,0,56,555366.4770577815,5291423.939031988,5.53141504551013
79,1.0,930,6380,7,4,0,0,75,550951.4686051877,5282235.931423453,5.596597095626461
80,3.5,2850,4416,7,3,0,0,89,549383.2075616408,5281333.22118609,5.942008053022313
81,2.5,2156,3562,9,3,0,0,3,560336.0870814478,5245380.329082099,5.5409548089261325
82,2.5,1920,9000,7,2,0,0,26,547433.5919972502,5262622.435734373,5.628388930050312
83,1.0,1020,11652,6,4,0,0,44,554432.0107108857,5254969.939221247,5.335457900689384
84,2.25,1750,1879,8,3,0,0,14,545715.6179661982,5280047.283403083,5.720159303405957
85,2.25,1940,9144,7,4,0,0,59,565029.2800858191,5271561.311883706,5.694605198933568
86,2.5,3830,11972,11,3,1,4,34,553677.6502825127,5287695.650411671,6.267171728403014
87,3.25,2470,4760,9,5,0,0,109,551834.6740742903,5275752.733710935,6.122215878272827
88,2.0,1320,8959,7,3,0,0,22,564647.106296447,5244814.834189212,5.423245873936808
89,1.5,1170,11530,7,3,0,0,55,553552.4825420631,5252205.484860591,5.3918169236132485
90,2.5,2250,11632,8,3,0,0,27,562552.9383038098,5264087.246133918,5.730782275666389
91,1.0,1060,6100,6,3,0,0,64,552786.8219139074,5286720.481991418,5.357934847000454
92,1.75,1400,10350,7,4,0,0,39,565397.9076385561,5258760.995793321,5.484299839346786
93,1.0,1750,12528,7,4,0,0,48,567693.3442199836,5288131.213933256,5.635483746814912
94,1.5,2060,10880,6,3,0,0,91,548036.1949848635,5262594.010350802,5.541753924982827
95,2.25,2080,2856,7,3,0,0,12,563510.2273305143,5252160.3092971565,5.427323786357247
96,1.75,1820,8740,8,4,0,0,28,546486.8175317569,5239508.65702702,5.392696953259666
97,2.5,1720,7950,7,4,0,0,43,562400.9671233603,5285270.849180248,5.720159303405957
98,1.75,1490,10844,7,3,0,0,41,567175.3673961272,5274542.268679768,5.648360010980932
99,1.0,1740,4400,7,3,0,0,91,552613.1805289029,5272736.521308927,5.73917663191073
100,2.75,2620,8861,8,5,0,0,36,561504.4814856872,5263564.842665588,5.715167357848458
101,1.75,2300,13342,7,3,1,4,81,553837.4823554483,5286630.096278032,6.125481265700594
102,1.0,1180,4219,7,3,0,0,76,546678.5457496347,5281666.549600116,5.638489256954637
103,1.0,1140,6700,7,3,0,0,95,548246.1094843158,5282690.781664785,5.732393759822968
104,1.5,1760,6723,7,3,0,0,57,555225.9489736704,5266703.182291552,5.672097857935717
105,1.0,940,8400,7,3,0,0,57,562873.6245193809,5262267.853556556,5.359835482339888
106,1.0,1430,8157,7,3,0,0,71,547918.653687898,5286000.257578837,5.544068044350276
107,1.75,1860,9629,7,4,0,0,54,564554.0655140771,5260118.757650244,5.498310553789601
108,2.0,1440,3720,7,3,0,0,32,550652.5727862142,5282088.827631104,5.676693609624866
109,1.75,1540,8100,7,4,0,0,68,548646.7492332644,5288607.172106631,5.633468455579586
110,1.5,1830,9848,7,5,0,0,53,561711.0802248605,5265389.848267106,5.670245853074124
111,1.0,800,5080,7,3,0,0,77,551470.5389314155,5282940.735620276,5.606918525948291
112,1.5,1320,7980,7,3,0,0,59,555799.9114181274,5261751.524786402,5.4065401804339555
113,2.5,2720,8120,7,3,0,0,45,552060.3479408408,5267296.5282049645,5.632457292184724
114,1.0,1090,7315,6,5,0,0,34,562893.6878482667,5260400.783043401,5.460897842756548
115,1.0,930,7740,6,3,0,0,91,553109.7105832561,5284211.461656624,5.4623979978989565
116,2.25,2020,8424,7,4,0,0,36,557516.6726543137,5286154.089419662,5.6673595461830875
117,2.75,2900,6400,7,3,0,0,104,545666.2827156787,5267165.236690619,5.653212513775344
118,2.0,2750,9001,8,3,0,0,7,561128.873801182,5256269.655685971,5.52244423350632
119,1.0,1210,6250,7,3,0,0,53,550233.1972875561,5261034.2226868635,5.243038048686294
120,1.75,2190,3800,8,4,0,2,92,548445.0126832912,5276823.902183106,5.994756944587628
121,1.0,940,9839,6,3,0,0,105,546209.0796737811,5265124.466529904,5.574031267727719
122,1.75,2180,10200,8,3,0,2,49,554702.6786927426,5290306.13295592,5.643452676486188
123,1.0,1340,7260,7,3,0,0,62,552892.2574877413,5283375.863850612,5.754348335711019
124,1.0,1140,9639,7,4,0,0,48,555553.397842798,5240009.503446324,5.361727836017593
125,2.5,2790,7956,9,3,0,0,10,552096.1794661868,5246301.8430320155,5.574031267727719
126,1.0,940,7200,7,4,0,0,61,558742.5954300171,5238562.244504505,5.213517756996305
127,2.5,1980,2975,8,3,0,2,22,549283.9906879031,5275319.35569141,5.866877814337498
128,2.25,2400,13430,9,4,0,0,51,561791.3324883392,5272026.285447367,5.93277807006055
129,1.0,1630,6009,8,4,0,3,61,546297.7415024653,5282363.726439607,5.740362689494244
130,1.75,1730,8400,7,4,0,0,35,566425.01327089,5281024.961939216,5.717670503002262
131,4.0,2680,6000,7,3,0,0,53,545955.297021808,5278215.268449446,5.8904210188009145
132,1.0,890,5200,7,3,0,0,58,554390.4505792006,5267540.053791659,5.498310553789601
133,1.0,1210,17389,5,4,0,0,67,564161.4777420915,5261570.485456485,5.413299764081252
134,1.5,2260,5300,7,3,0,0,75,548940.2942910184,5280451.416841058,5.643452676486188
135,1.0,1440,9600,7,2,0,0,51,555623.1035776881,5240632.55455262,5.431283331807261
136,2.75,2660,7754,8,3,0,0,29,550114.6665145251,5239582.852372559,5.44793286559218
137,2.25,3230,17833,9,4,0,0,42,561074.9688116118,5268639.812331334,6.324282455297693
138,1.5,1220,3286,7,3,0,0,33,560827.1166027166,5285143.001380684,5.469822015978163
139,2.25,1520,1245,8,3,0,0,11,549526.4913129901,5282134.699181379,5.607455023214668
140,1.5,1070,8886,7,4,0,0,31,562988.0046894613,5244574.544707475,5.380211241711606
141,1.75,1300,7770,7,3,0,0,48,560581.349960673,5287130.045940277,5.556302500767287
142,2.0,1530,4080,7,4,0,0,103,550677.4532947836,5279232.558926863,5.8221680793680175
143,1.5,2020,7560,7,4,0,0,55,564315.0220366028,5261305.41458867,5.578639209968072
144,2.5,2440,9727,9,3,0,0,28,565171.3437823148,5279021.153647977,5.874771637184298
145,3.75,3730,17000,10,4,0,3,29,557048.9417080532,5264953.467493165,6.194333926513591
146,2.25,2440,9450,7,3,0,0,68,551987.4932575094,5283867.866560431,5.845098040014257
147,1.75,980,6002,6,4,0,0,73,559837.1123754602,5279297.310969501,5.8178957571617955
148,2.5,2730,10753,9,3,0,0,24,565245.1779632272,5265694.99261844,5.878521795501206
149,3.5,3220,5081,8,3,0,0,2,566692.5874168738,5283873.547320617,5.978165903207401
150,2.25,1670,7881,7,4,0,0,38,561861.7162970792,5251109.0446917545,5.401400540781544
151,1.0,1500,3399,7,5,0,0,89,548632.4270163217,5281360.237869325,5.6180480967120925
152,3.5,3273,5115,8,3,0,0,1,560008.8387486619,5255224.424258675,5.685741738602264
153,2.5,1180,932,8,3,0,0,5,546947.3265679053,5276255.90799628,5.658011396657113
154,1.0,1300,8184,6,3,0,0,68,551047.3992985063,5288394.385341005,5.401400540781544
155,1.75,2430,5481,8,3,0,0,62,552812.7623155274,5267292.168494586,5.60422605308447
156,2.0,1700,10000,8,3,0,0,23,559570.8104288487,5290609.750356448,5.657055852857104
157,2.5,1770,5146,7,3,0,0,23,548477.533489792,5263853.573379784,5.574031267727719
158,2.5,1710,7230,7,3,0,0,19,553092.5946756238,5236274.720711451,5.439332693830263
159,2.75,2750,18029,9,5,0,2,37,565144.7611914679,5267950.213885325,5.977723605288848
160,3.0,2300,8214,8,3,0,0,2,554728.183283888,5239334.932013921,5.495393071274826
161,1.0,1270,1399,7,3,0,0,15,546570.047390738,5267050.114313402,5.568201724066995
162,1.0,1460,5000,7,4,0,0,81,551034.1157367966,5281369.705018747,5.596597095626461
163,1.0,1160,4360,8,4,0,0,86,553222.6616080331,5280066.66175188,5.699837725867246
164,2.5,2480,6180,9,3,0,0,16,559756.2754228311,5250409.252439586,5.623249290397901
165,1.0,1340,8100,7,4,0,0,62,547247.1817510806,5285572.395692975,5.641870545476313
166,3.0,1780,4228,7,3,0,0,62,553648.5756281873,5266399.504987674,5.544068044350276
167,2.5,1690,4500,8,4,0,1,87,546394.0493233748,5270260.773168114,5.8567288903828825
168,2.5,2340,19850,9,3,0,0,22,552001.6361707967,5290659.189609027,5.731588765186738
169,1.25,2400,6653,11,3,0,2,23,553368.862428754,5272298.8022333225,6.1423894661188365
170,3.25,1560,1345,8,3,0,0,6,547013.8468633158,5267998.392507227,5.6512780139981444
171,0.75,1270,10092,7,5,0,0,44,569474.2516831723,5289675.093857416,5.4996870826184034
172,1.75,1580,9719,7,5,0,0,53,561710.3761315154,5265456.529800875,5.71357453777207
173,1.0,1150,6000,7,4,0,1,94,559063.9889918629,5281490.182152401,5.919078092376074
174,1.0,1700,7700,7,3,0,0,55,551352.5350009267,5262222.065119267,5.3979400086720375
175,2.5,1440,7320,7,5,0,0,61,551300.7515025889,5285173.311147605,5.633468455579586
176,2.5,1330,816,8,3,0,0,11,546005.8609162951,5281316.63530602,5.574031267727719
177,2.5,2130,5001,8,5,0,0,43,545127.9272164133,5278386.627589749,5.849419413796899
178,3.25,3230,5000,9,3,0,1,13,545697.6402533689,5263153.215608305,5.911157608739977
179,1.75,1250,7710,7,4,0,0,68,551182.2132039006,5290107.267267522,5.528916700277655
180,1.75,2250,8580,7,4,0,0,57,560023.6199567082,5290303.194231305,5.670245853074124
181,1.5,2430,3600,8,3,0,0,35,553710.6837626231,5275992.023663526,5.973127853599698
182,2.75,4120,16365,12,3,0,2,16,564134.5418233452,5264026.576833047,6.113943352306837
183,1.0,1170,3348,7,4,0,0,91,546678.278080896,5281699.891345081,5.65991620006985
184,4.0,4510,15175,10,3,0,0,46,558107.6921237764,5264452.6211954355,6.271841606536499
185,2.5,1730,7200,7,4,0,0,30,560663.3907697697,5250251.835927138,5.3979400086720375
186,3.5,4010,15365,11,3,0,1,9,568240.515473362,5266996.323643567,6.141449773400467
187,2.5,3200,12369,10,3,0,0,17,564509.934854557,5264119.625815427,5.86041347739885
188,2.25,3490,6906,10,4,0,0,87,544539.8914784892,5276726.037607643,6.088136088700551
189,1.5,1500,3075,7,5,0,0,86,548777.3983497452,5281972.760110704,5.8139144200486035
190,2.5,2979,17313,11,3,0,2,22,566362.7445391002,5266696.813552775,5.9599948383284165
191,1.5,1560,7884,7,3,0,0,46,552637.3639149657,5286663.550410518,5.565847818673518
192,3.5,3070,4684,10,3,0,0,6,569547.5802532772,5264655.329012841,5.894869656745253
193,1.0,1570,10050,7,3,0,0,52,557655.8319066304,5287244.745845545,5.565257343420214
194,1.0,960,4560,7,4,0,0,47,547774.973950186,5266915.357753789,5.4623979978989565
195,2.25,2100,3000,7,3,0,0,19,552173.048468022,5271521.07250479,5.694605198933568
196,1.75,2150,9000,7,4,0,0,49,566572.5806568087,5281248.95519192,5.740362689494244
197,3.0,2580,8064,7,3,0,0,102,553642.3502440827,5267077.436859203,5.513217600067939
198,1.75,1580,7344,7,5,0,0,104,546671.5445081828,5263761.079064418,5.414973347970818
199,2.5,2070,11286,8,3,0,0,19,562250.4230009578,5264217.39536013,5.802773725291976
